kind,subset,size,auroc,auroc_sd,ms,ms_det
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|conflicting_value_rate,5,0.823591393108685,0.004299949354190277,106.68412967742077,87.02479415631622
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation,4,0.8231676083467955,0.00412785575644861,105.24819401837269,85.58680903722366
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|year_count|conflicting_value_rate,6,0.8225560999095635,0.004736921283365409,106.14862019516401,86.48530879464084
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|year_count,5,0.822454258380494,0.00405187700694693,106.3400078017418,86.68044982155146
feat,structured_source_line_ratio|bm25_mean3|entity_value_colocation|year_count|conflicting_value_rate,5,0.8220289236066062,0.00323156697527707,106.95434171281286,87.29068418673327
feat,structured_source_line_ratio|bm25_mean3|entity_value_colocation|conflicting_value_rate,4,0.821868487796813,0.002725742579433401,105.62846097392837,85.96584448551825
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|year_count|conflicting_value_rate,5,0.8217475294530983,0.005523735205422592,105.26623723640064,85.60493292678994
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|conflicting_value_rate,4,0.8213277058329822,0.007195265109307786,105.53915268451843,85.87869355420398
feat,structured_source_line_ratio|bm25_mean3|entity_value_colocation,3,0.8211608786156901,0.002986974312186846,106.59384049913379,86.93381074688061
feat,structured_source_line_ratio|bm25_mean3|entity_value_colocation|year_count,4,0.8187045305893911,0.008503319738800988,106.8068285623975,87.14842575213918
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|year_count,4,0.8181768950236196,0.00969650439275066,112.83657035172882,93.17421045923876
feat,structured_source_line_ratio|bm25_mean3|entity_coverage,3,0.8158110217717365,0.009490065691056112,112.50253584215238,92.84085201214491
feat,structured_source_line_ratio|bm25_mean3|year_count|conflicting_value_rate,4,0.8155551167044219,0.008417999145507372,105.52051146300303,85.86202739925339
feat,structured_source_line_ratio|bm25_mean3|year_count,3,0.8149025616531624,0.012683733489462399,106.88634191023371,87.22752578072331
feat,structured_source_line_ratio|bm25_mean3|conflicting_value_rate,3,0.8138083105902559,0.009874943217032637,112.48783084299369,92.82691144228204
feat,structured_source_line_ratio|bm25_mean3,2,0.8128014151418184,0.008098490404084542,112.74068636143622,93.08004101044699
feat,structured_source_line_ratio|year_count|conflicting_value_rate,3,0.8080924212833104,0.008869452975747216,139.35069441348986,119.69152518938634
feat,structured_source_line_ratio|entity_coverage|entity_value_colocation|year_count|conflicting_value_rate,5,0.8076672587329782,0.007117307022445218,139.6158222974932,119.95710718080747
feat,structured_source_line_ratio|entity_coverage|entity_value_colocation|conflicting_value_rate,4,0.8070303568893056,0.005514396924213935,141.57959087939776,121.91947156240471
feat,structured_source_line_ratio|entity_coverage|year_count|conflicting_value_rate,4,0.8061187202029331,0.005513344691938482,139.2301132048729,119.56896673577792
feat,structured_source_line_ratio|entity_coverage|entity_value_colocation,3,0.8060455825997567,0.005570930767629039,143.08506131507522,123.42534024480533
feat,structured_source_line_ratio|entity_coverage|year_count,3,0.8058459754990942,0.004785789684305872,138.5421123772866,118.88083187215929
feat,structured_source_line_ratio|entity_coverage|entity_value_colocation|year_count,4,0.8053034138918582,0.007351263860189328,136.0596536734742,116.40045327094208
feat,structured_source_line_ratio|entity_coverage|conflicting_value_rate,3,0.8025161287359595,0.014064687369329495,134.60600099077277,114.94401479454436
feat,structured_source_line_ratio|entity_coverage,2,0.8001311960772831,0.014607387885502704,134.97066935524077,115.31135140564488
feat,structured_source_line_ratio|entity_value_colocation,2,0.7993980595380658,0.02273064717920681,134.21904508488208,114.561520398974
feat,structured_source_line_ratio|entity_value_colocation|year_count,3,0.7986084145367396,0.021814858280543605,129.05459620509993,109.392773214216
feat,structured_source_line_ratio|year_count,2,0.7986003965734401,0.02049130034506004,132.81940314312396,113.16125670165397
feat,structured_source_line_ratio|entity_value_colocation|year_count|conflicting_value_rate,4,0.7984473663765274,0.02471272810062963,130.57230554854536,110.91050091980597
feat,bm25_mean3|year_count|conflicting_value_rate,3,0.7984251304019352,0.0026967318717383247,155.22882335499702,135.56671160688424
feat,year_count|conflicting_value_rate,2,0.7982773817273869,0.002671217507776926,156.0266019463467,136.36728237344914
feat,bm25_mean3|conflicting_value_rate,2,0.7979048239052418,0.0031316199081120938,153.88841592138138,134.22697163640254
feat,entity_coverage|entity_value_colocation|year_count|conflicting_value_rate,4,0.7965970539055902,0.0040655887284328646,146.02263426190686,126.36454022411495
feat,entity_coverage|entity_value_colocation,2,0.796238599279034,0.0045718890634923685,151.36414040053305,131.70520946641886
feat,structured_source_line_ratio|entity_value_colocation|conflicting_value_rate,3,0.7961804642611245,0.025750945058655682,134.476337132239,114.81512295693085
feat,entity_coverage|entity_value_colocation|year_count,3,0.7959976776610357,0.003617753254426785,147.56932000832987,127.90892069696011
feat,conflicting_value_rate,1,0.7958694285201443,0.002453132475988421,157.08280551192735,137.42219917391907
feat,(empty),0,0.7958342949148508,0.0031639463591532943,159.1372143733263,139.47737984641236
feat,entity_coverage|conflicting_value_rate,2,0.7946909218667655,0.005471044005858953,149.058936886323,129.39797664840842
feat,year_count,1,0.7946479425217279,0.0038115237241818857,158.4048192996566,138.74604074820624
feat,bm25_mean3|entity_value_colocation,2,0.7946117755751023,0.0028677983091538618,151.26338511769,131.6030594913928
feat,entity_coverage|year_count|conflicting_value_rate,3,0.7944641225803069,0.0029181321480511208,147.54556759991033,127.88919271029377
feat,entity_coverage,1,0.7938167150997575,0.003735232455273206,148.640843417083,128.98120432950734
feat,entity_coverage|entity_value_colocation|conflicting_value_rate,3,0.7937877624065066,0.004651190034764759,151.00615515487158,131.34623831525465
feat,bm25_mean3|entity_value_colocation|year_count|conflicting_value_rate,4,0.7937156007368106,0.003187057830359404,151.5859139332457,131.92491568071318
feat,bm25_mean3|entity_value_colocation|conflicting_value_rate,3,0.793703468544133,0.0038473834790491383,152.00810510489728,132.34334491963952
feat,entity_coverage|year_count,2,0.7936184666515875,0.0028034167781864944,148.52852222475695,128.86927934537135
feat,bm25_mean3|entity_value_colocation|year_count,3,0.7928345050275882,0.002642741383927524,151.3203849302954,131.6609869688005
feat,bm25_mean3|entity_coverage|entity_value_colocation|year_count|conflicting_value_rate,5,0.7923035015345119,0.008362034737300933,134.51403284411938,114.85383929337956
feat,structured_source_line_ratio|conflicting_value_rate,2,0.7915768329465959,0.02255167195918643,120.8683994335637,101.20891508458446
feat,bm25_mean3|entity_coverage|year_count|conflicting_value_rate,4,0.7912974289319499,0.010602942368810528,134.2812868971113,114.6213248918917
feat,entity_value_colocation|year_count|conflicting_value_rate,3,0.7905890734487537,0.0028985922059107942,152.23127087471494,132.57196422261447
feat,entity_value_colocation|year_count,2,0.7898213582468101,0.0025841852250383006,152.67271333075732,133.01136817479613
feat,bm25_mean3|entity_coverage|entity_value_colocation|year_count,4,0.7893068882150482,0.007979371090275066,130.42960875259024,110.76922325605332
feat,bm25_mean3|entity_coverage|entity_value_colocation|conflicting_value_rate,4,0.7892651335708487,0.008082475373496639,120.9223809402827,101.26239478101398
feat,bm25_mean3|entity_coverage|entity_value_colocation,3,0.789028115686772,0.01139003532275128,130.37346595646778,110.7123916986196
feat,bm25_mean3|entity_coverage,2,0.7887839026852714,0.013225398218783175,134.63957325269797,114.97811987550442
feat,structured_source_line_ratio,1,0.7878488818672709,0.022265112112890603,120.05612548647714,100.39832099701758
feat,entity_value_colocation,1,0.7876293925139396,0.004127427182465722,153.28248913932538,133.62193141290328
feat,entity_value_colocation|conflicting_value_rate,2,0.7874733197008822,0.004181365627923744,153.35623922400293,133.6976752375072
feat,bm25_mean3|entity_coverage|year_count,3,0.7855924853887449,0.017988663633008436,134.25523633894144,114.59417442995016
feat,bm25_mean3|entity_coverage|conflicting_value_rate,3,0.7840715791713598,0.014924479120629176,129.38543138865793,109.72403434406742
feat,bm25_mean3,1,0.7685619868934047,0.00346746664418016,130.37197373644005,110.71164957482412
feat,bm25_mean3|year_count,2,0.7638510794398372,0.016570091169748988,129.4352423539108,109.77362629581594
pool,factcc+lettuce_v2+granite_guardian_3_1_2b,3,0.8225560999095635,0.004736921283365409,106.14686534263254,86.48530879464084
pool,lettuce_v2+granite_guardian_3_1_2b,2,0.804159466765255,0.004682788931422792,143.49827851732792,123.84940434804744
pool,factcc+granite_guardian_3_1_2b,2,0.8000040185496251,0.00287616018865559,158.94480344536987,139.29600016756027
pool,(empty),0,0.7966170318380119,0.001700748459073612,27.303564195454243,27.29291416183124
pool,granite_guardian_3_1_2b,1,0.7958342949148508,0.0031639463591532943,159.11621552641617,139.47737984641236
pool,factcc+lettuce_v2,2,0.6583035482262314,0.004104743352018883,75.94201015890036,56.29253882506159
pool,lettuce_v2,1,0.5995127986978368,0.0005620708677508817,88.90986504796088,69.2729711406698
pool,factcc,1,0.5708926499961919,0.007782790459769917,64.90504014164586,45.26789103450931
