arm,d_auroc_reference_minus,ci95_lo,ci95_hi,significant_95,bonf_lo,bonf_hi,significant_bonferroni,d_ms,n_comparisons,bonferroni_alpha
control::matched_random,0.1618177316014533,0.14637737872162224,0.17787017704644903,True,0.14137127738902044,0.18238705710225656,True,3.2907023997357214,5,0.01
featureset::legacy_A9,0.012029738798101574,0.005240591543761205,0.01861766976933078,True,0.002754929254460557,0.020169327381995696,True,0.9112115045199403,5,0.01
featureset::legacy_B5,0.008599466566241188,0.0021447231561682856,0.01488714468221149,True,0.00026368794535157206,0.01631471570142661,True,-7.067140048913075,5,0.01
control::oracle_heads,-0.16879785662044564,-0.18656658545156013,-0.1522427800729275,True,-0.19235133918147668,-0.1466368180468855,True,-11.399013686644167,5,0.01
control::oracle_heads_beta0,-0.17165441391750028,-0.18954985865646842,-0.15501732195892864,True,-0.19579787004296162,-0.1491656021835031,True,-21.636182433994094,5,0.01
