corpus,test_groups,seeds_used,val_fraction_used,in_domain_ours,in_domain_ours_sd,in_domain_best_fixed,in_domain_best_fixed_name,pooled_trained_ours,in_domain_minus_pooled,sel_all15_auroc,sel_all15_sd,sel_all15_ms,sel_all15_mode,sel_all15_distinct,sel_pool3_auroc,sel_pool3_sd,sel_pool3_ms,sel_pool3_mode,sel_pool3_distinct,router_minus_sel_pool3,router_minus_sel_all15
cogensumm,100,10,0.2,0.6898291812354314,0.0398767817138015,0.7924825174825175,fixed::factcg,0.6848794434731935,0.0049497377622378,0.7758304195804195,0.011190383196040083,421.51776366028207,wecheck,5,0.7494773455710956,0.08184334603801235,108.85992059238197,granite_guardian_3_1_2b,2,-0.05964816433566422,-0.08600123834498818
frank,350,10,0.2,0.8149529633671821,0.0116765292708413,0.8642177564771757,fixed::factkb,0.8253192618866849,-0.0103662985195027,0.8386274259751353,0.03425051482397169,132.5845230420843,factkb,6,0.8266707495017558,0.015447417537324424,145.261488478854,granite_guardian_3_1_2b,1,-0.011717786134573638,-0.02367446260795314
ragtruth,150,10,0.2,0.6214303832328387,0.0164580580601374,0.7998416483070502,fixed::alignscore,0.6377152423469388,-0.0162848591141,0.7818105722402596,0.006888193140977584,275.41754174590136,factcg,2,0.6367553484461966,0.0014912735849036576,43.85024650578594,lettuce_v2,1,-0.01532496521335791,-0.1603801890074209
unisumeval,45,10,0.2,0.63796405305706,0.0281248514955697,0.7241582293383565,fixed::qwen30_judge,0.5906973549956833,0.0472666980613767,0.6656443764225728,0.025432864739987255,1503.7080833508442,wecheck,3,0.6642080684404678,0.009148062285828885,147.6024904496757,granite_guardian_3_1_2b,1,-0.026244015383407704,-0.027680323365512738
