corpus,test_groups,seeds_used,val_fraction_used,in_domain_ours,in_domain_ours_sd,in_domain_best_fixed,in_domain_best_fixed_name,pooled_trained_ours,in_domain_minus_pooled,val_selected_fixed_auroc,val_selected_fixed_sd,val_selected_fixed_ms,selected_mode,n_distinct_selected,router_minus_val_selected,oracle_minus_val_selected
cogensumm,100,10,0.2,0.6898291812354314,0.0398767817138015,0.7924825174825175,fixed::factcg,0.6848794434731935,0.0049497377622378,0.7758304195804195,0.011190383196040083,421.51776366028207,wecheck,5,-0.08600123834498818,0.016652097902097984
frank,350,10,0.2,0.8149529633671821,0.0116765292708413,0.8642177564771757,fixed::factkb,0.8253192618866849,-0.0103662985195027,0.8386274259751353,0.03425051482397169,132.5845230420843,factkb,6,-0.02367446260795314,0.025590330502040404
ragtruth,150,10,0.2,0.6214303832328387,0.0164580580601374,0.7998416483070502,fixed::alignscore,0.6377152423469388,-0.0162848591141,0.7818105722402596,0.006888193140977584,275.41754174590136,factcg,2,-0.1603801890074209,0.018031076066790552
unisumeval,45,10,0.2,0.63796405305706,0.0281248514955697,0.7241582293383565,fixed::qwen30_judge,0.5906973549956833,0.0472666980613767,0.6656443764225728,0.025432864739987255,1503.7080833508442,wecheck,3,-0.027680323365512738,0.058513852915783704
