kind,size,n_subsets,best_subset,best_auroc,best_ms,mean_auroc,worst_auroc
feat,0,1,(empty),0.7402366949810955,210.97436660495515,0.7402366949810955,0.7402366949810955
feat,1,6,structured_source_line_ratio,0.7675557154890413,148.8033031462056,0.7497410205147115,0.7368511615004956
feat,2,15,structured_source_line_ratio|bm25_mean3,0.7831292997394079,106.95210391059467,0.7562421026498592,0.7389985701833617
feat,3,20,structured_source_line_ratio|bm25_mean3|entity_coverage,0.7895049767316511,112.03306067446302,0.7647428974309533,0.7381475107320818
feat,4,15,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation,0.7929333821590909,112.45030895477721,0.7753516290851166,0.74145017010082
feat,5,6,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|year_count,0.793929075231133,113.27077439955931,0.7855998731996207,0.767141652204996
feat,6,1,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|year_count|conflicting_value_rate,0.7933003646708998,112.54024165061182,0.7933003646708998,0.7933003646708998
pool,0,1,(empty),0.7492518072859757,33.37553120964875,0.7492518072859757,0.7492518072859757
pool,1,3,granite_guardian_3_1_2b,0.7402366949810955,210.69716871941318,0.6282572812961266,0.5323734984388162
pool,2,3,lettuce_v2+granite_guardian_3_1_2b,0.7548729910117757,189.57317376289913,0.7307473921069162,0.6943706213274969
pool,3,1,factcc+lettuce_v2+granite_guardian_3_1_2b,0.7933003646708998,112.54306017058127,0.7933003646708998,0.7933003646708998
