arm,d_auroc_reference_minus,ci95_lo,ci95_hi,significant_95,bonf_lo,bonf_hi,significant_bonferroni,d_ms,n_comparisons,bonferroni_alpha
control::matched_random,0.16107659949460265,0.15041766548913746,0.1708494593855638,True,0.14770191544540384,0.17329382853436306,True,-6.410834216103794,5,0.01
featureset::legacy_A9,0.0031209751169055332,-0.0007208832483672644,0.006861816681733746,False,-0.0021318648183176686,0.0080112351047886,False,4.899341170332605,5,0.01
featureset::legacy_B5,0.0011307504169359218,-0.002137462557143906,0.004359251626669669,False,-0.003042873546657973,0.0052014577497095,False,1.2706228853374455,5,0.01
control::oracle_heads,-0.19739543056311998,-0.20834197437110158,-0.18673712163984676,True,-0.21159254786068774,-0.1832044518276457,True,-36.12082974232915,5,0.01
control::oracle_heads_beta0,-0.1998280019665617,-0.21086633084868564,-0.18929509974658223,True,-0.21405957698935937,-0.18568557355981666,True,-49.7494316720108,5,0.01
