corpus,test_groups,seeds_used,val_fraction_used,in_domain_ours,in_domain_ours_sd,in_domain_best_fixed,in_domain_best_fixed_name,pooled_trained_ours,in_domain_minus_pooled
cogensumm,100,10,0.2,0.6898291812354314,0.03987678171380151,0.7924825174825175,fixed::factcg,0.6848794434731935,0.004949737762237838
frank,350,10,0.2,0.8149529633671821,0.011676529270841366,0.8642177564771757,fixed::factkb,0.8253192618866849,-0.01036629851950277
ragtruth,150,10,0.2,0.6214303832328387,0.01645805806013748,0.7998416483070502,fixed::alignscore,0.6377152423469388,-0.016284859114100048
unisumeval,45,10,0.2,0.63796405305706,0.028124851495569748,0.7241582293383565,fixed::qwen30_judge,0.5906973549956833,0.04726669806137673
