arm,d_auroc_reference_minus,ci95_lo,ci95_hi,significant_95,bonf_lo,bonf_hi,significant_bonferroni,d_ms,mean_calls,n_comparisons,bonferroni_alpha
cascade::disagreement,0.20233749085221805,0.1893805202134845,0.21543442584701963,True,0.18314437309710926,0.222671254616759,True,-88.36745669303801,2.1858200187969925,13,0.0038461538461538464
cascade::confidence,0.09159884340463248,0.08031321059448913,0.10287478039228501,True,0.07511352992185363,0.10756631341337831,True,-45.66183155596255,1.577608082706767,13,0.0038461538461538464
cascade::learned_deferral,0.08269937372227054,0.07174445171740208,0.09404104016376322,True,0.06734906433026712,0.10046260773045614,True,-47.64357702577354,1.5625704887218046,13,0.0038461538461538464
learner::knn,0.05612691652374139,0.047758368965468964,0.06453071168883467,True,0.04414467232878368,0.06797913115995455,True,-35.93958729743807,1.0,13,0.0038461538461538464
learner::ridge,0.0559608863961066,0.046817034354994555,0.06578863493166108,True,0.04260504743883755,0.07037627996466199,True,-53.84270200644795,1.0,13,0.0038461538461538464
learner::mlp,0.02891714787664339,0.024200573828337728,0.034222340923168997,True,0.02247764849952014,0.036450499372238515,True,-18.958892289472402,1.0,13,0.0038461538461538464
learner::tree,0.023551290161440717,0.020096602521721154,0.027369883827177085,True,0.018421204070121523,0.02861121335231225,True,-5.007562582696991,1.0,13,0.0038461538461538464
learner::hgb,0.02354985808957103,0.019013535035455678,0.028162723576480475,True,0.01720054781493847,0.03081550599631224,True,-3.5508034252580245,1.0,13,0.0038461538461538464
learner::gbr,0.010498921999442957,0.007410909729545539,0.013723824772972923,True,0.006583037398638377,0.015143704800848968,True,0.32042020442636954,1.0,13,0.0038461538461538464
learner::extra_trees,0.006720989550385814,0.003427438269802995,0.009867204249175131,True,0.00223850524887804,0.011165545545476942,True,4.6708952258344425,1.0,13,0.0038461538461538464
second::verifier_confidence,0.0015841280204594633,0.00012325150922587623,0.00299022997470116,True,-0.0005314373907213406,0.00376171782438874,False,-12.685520913796822,1.0683153195488724,13,0.0038461538461538464
second::raw_margin,-0.001645881891282086,-0.0046818154433869675,0.0013424696538612336,False,-0.006389317982390899,0.002960925467275019,False,-30.869334681086826,1.1918115601503758,13,0.0038461538461538464
second::discounted_margin,-0.004267923732588219,-0.007172826161809154,-0.0011258996351163984,True,-0.008754247973485474,8.405179105660187e-05,False,-27.739053831701796,1.151268796992481,13,0.0038461538461538464
