corpus,n,mean_ms,share__factcc,share__lettuce_v2,share__granite_guardian_3_1_2b
ALL,3236,106.14368718536755,0.3434487021013597,0.3474042027194067,0.3091470951792336
cogensumm_test,400,61.76311555387893,0.91025,0.02,0.06975
frank_test,1569,99.74066385872118,0.40720203951561507,0.02638623326959847,0.5664117272147865
ragtruth_test,900,66.86899781739818,0.003111111111111111,0.9966666666666667,0.00022222222222222223
unisumeval_dev,367,278.20306779374914,0.2877384196185286,0.48446866485013623,0.22779291553133516
