pool,k,n_dominating,val_auroc,sd,val_ms,min_share,beta_mode,share__alignscore,share__factcc,share__factcg,share__factkb,share__granite_guardian_3_1_2b,share__granite_guardian_3_2_3b_a800m,share__granite_guardian_3_2_8b_factuality,share__granite_guardian_4_1_3b_factuality_lora,share__hhem,share__lettuce_v2,share__minicheck_dbta,share__minicheck_ft5,share__qwen30_fast,share__qwen30_judge,share__wecheck,rank_by_auroc,eligible,rank_among_eligible
granite_guardian_3_2_3b_a800m+hhem+wecheck,3,0,0.7316030210973379,0.010903695677107196,243.3451596301552,0.0011356598044921955,0.0,,,,,,0.060017020070718394,,,0.0011356598044921955,,,,,,0.9388473201247894,247,False,
factkb+lettuce_v2+wecheck,3,0,0.7315969886148567,0.014558471946424107,184.60717274594242,0.025159507003034282,0.0,,,,0.025159507003034282,,,,,,0.48282474957377675,,,,,0.49201574342318893,248,False,
granite_guardian_3_1_2b+granite_guardian_3_2_3b_a800m+qwen30_judge,3,1,0.7309638771999295,0.011478211817902416,628.0662812330879,0.005865551504668986,0.0,,,,,0.10180191168383652,0.005865551504668986,,,,,,,,0.8923325368114945,,249,False,
granite_guardian_4_1_3b_factuality_lora+qwen30_judge+wecheck,3,0,0.7309531536297144,0.012824343252859643,296.53699679394816,0.011166091807982224,0.1,,,,,,,,0.011166091807982224,,,,,,0.03570235624542246,0.9531315519465953,250,False,
factcc+granite_guardian_4_1_3b_factuality_lora+lettuce_v2,3,0,0.7309459773366276,0.014998658379227654,180.19074340009246,0.09529442649549978,0.0,,0.09529442649549978,,,,,,0.2254052586526687,,0.6793003148518315,,,,,,251,True,62.0
granite_guardian_3_1_2b+granite_guardian_4_1_3b_factuality_lora+qwen30_judge,3,1,0.7309441209427077,0.011573569917685197,557.6914834121587,0.01459101465535705,0.0,,,,,0.25812664501744653,,,0.01459101465535705,,,,,,0.7272823403271965,,252,False,
lettuce_v2+minicheck_dbta+wecheck,3,0,0.7308549592940341,0.014689522305006208,203.42116715581955,0.0007532956685499058,0.0,,,,,,,,,,0.5110898222236449,0.0007532956685499058,,,,0.4881568821078052,253,False,
lettuce_v2+minicheck_ft5+wecheck,3,0,0.730640798050233,0.015016350595412417,213.6020800634009,0.010391401252878508,0.0,,,,,,,,,,0.5061769539769261,,0.010391401252878508,,,0.4834316447701955,254,False,
granite_guardian_3_1_2b+minicheck_ft5+qwen30_fast,3,0,0.7305841041660466,0.007723232687449905,253.96895413620751,0.007750472589792061,0.1,,,,,0.5985270635176818,,,,,,,0.007750472589792061,0.39372246389252624,,,255,False,
granite_guardian_3_1_2b+granite_guardian_3_2_3b_a800m+wecheck,3,0,0.7302545983807931,0.012784544589495773,213.65426188112207,0.041832098755037,0.0,,,,,0.5230720890454872,0.041832098755037,,,,,,,,,0.4350958121994758,256,False,
granite_guardian_3_1_2b+hhem+qwen30_judge,3,1,0.7299523454612815,0.010972739681614002,632.1582762522921,0.0001890359168241966,0.0,,,,,0.10103535821058476,,,,0.0001890359168241966,,,,,0.8987756058725911,,257,False,
hhem+qwen30_fast+qwen30_judge,3,1,0.7298773504693326,0.01078395710174224,496.9788404099794,0.020415879017013232,0.0,,,,,,,,,0.020415879017013232,,,,0.5180242301702904,0.46155989081269644,,258,False,
minicheck_dbta+qwen30_fast+qwen30_judge,3,1,0.7294072619824513,0.006309548595786604,496.57392215912085,0.008692123287997408,0.0,,,,,,,,,,,0.008692123287997408,,0.5431889869605978,0.44811888975140485,,259,False,
granite_guardian_3_1_2b+minicheck_dbta+qwen30_fast,3,0,0.7293576861201063,0.007244640098668218,245.96275760731456,0.0,0.1,,,,,0.6702603138535228,,,,,,0.0,,0.32973968614647725,,,260,False,
granite_guardian_3_1_2b+minicheck_ft5+qwen30_judge,3,1,0.7292159062325622,0.012110934449554476,557.2511446188453,0.006814714060017454,0.0,,,,,0.26248238285102465,,,,,,,0.006814714060017454,,0.7307029030889579,,261,False,
granite_guardian_4_1_3b_factuality_lora+qwen30_fast+qwen30_judge,3,1,0.7290479754665007,0.009953948850794727,447.34123302192876,0.012131045585652185,0.0,,,,,,,,0.012131045585652185,,,,,0.6690263021104148,0.3188426523039329,,262,False,
hhem+lettuce_v2+wecheck,3,0,0.7289764080461207,0.015091251438824508,202.3246014618802,0.004157376979103275,0.0,,,,,,,,,0.004157376979103275,0.48735839480185,,,,,0.5084842282190467,263,False,
granite_guardian_3_2_8b_factuality+granite_guardian_4_1_3b_factuality_lora+wecheck,3,0,0.7289399504373852,0.011687060732884806,281.7483761082107,0.0,0.2,,,,,,,0.0,0.017799979062115317,,,,,,,0.9822000209378846,264,False,
hhem+minicheck_dbta+qwen30_judge,3,1,0.728661941264501,0.01269284913217885,668.8781758127941,0.0,0.0,,,,,,,,,0.0,,0.017784901306107125,,,0.9822150986938929,,265,False,
factcc+minicheck_dbta+qwen30_judge,3,1,0.7286466880018404,0.013497342801203759,668.287068292834,0.0,0.0,,0.0,,,,,,,,,0.019297926348733185,,,0.9807020736512667,,266,False,
granite_guardian_3_2_3b_a800m+minicheck_dbta+qwen30_judge,3,1,0.728231994177482,0.012066864893210462,662.2315485667384,0.01020592124283092,0.0,,,,,,0.01020592124283092,,,,,0.017594445481566474,,,0.9721996332756027,,267,False,
granite_guardian_3_2_8b_factuality+lettuce_v2+wecheck,3,0,0.728111119572436,0.015173637087367426,243.44265048545668,0.048966567648626586,0.1,,,,,,,0.048966567648626586,,,0.5570244760649797,,,,,0.39400895628639365,268,False,
factkb+qwen30_fast+wecheck,3,0,0.7280857664526426,0.006725133328857447,303.60487360458734,0.0017092269688368084,0.0,,,,0.0017092269688368084,,,,,,,,,0.6662015492060347,,0.3320892238251286,269,False,
factcc+qwen30_fast+wecheck,3,0,0.7280735870927749,0.006207000781757037,282.3057495235894,0.08790170132325141,0.0,,0.08790170132325141,,,,,,,,,,,0.6208344453467508,,0.2912638533299977,270,True,63.0
granite_guardian_4_1_3b_factuality_lora+minicheck_dbta+wecheck,3,0,0.7280179067375462,0.011042016743413673,282.85976628657465,0.00018832391713747646,0.1,,,,,,,,0.01382121723142551,,,0.00018832391713747646,,,,0.985990458851437,271,False,
factkb+qwen30_fast+qwen30_judge,3,1,0.727722483808592,0.01234005095793832,483.22697207651055,0.061626787036304954,0.0,,,,0.061626787036304954,,,,,,,,,0.47661601621071387,0.46175719675298127,,272,False,
granite_guardian_4_1_3b_factuality_lora+lettuce_v2+minicheck_dbta,3,0,0.7276699946655432,0.008613670945455258,260.279545509926,0.02836388861397924,0.0,,,,,,,,0.3510692474084065,,0.6205668639776143,0.02836388861397924,,,,,273,False,
granite_guardian_4_1_3b_factuality_lora+minicheck_dbta+qwen30_judge,3,1,0.7276413937231434,0.013908923397593384,520.1467739115814,0.2280948247075479,0.1,,,,,,,,0.30519723223407985,,,0.2280948247075479,,,0.46670794305837215,,274,False,
factkb+minicheck_dbta+qwen30_judge,3,1,0.7275771852236657,0.012663392825942784,668.3392891995866,0.003028206388485864,0.0,,,,0.003028206388485864,,,,,,,0.016078195479918993,,,0.9808935981315952,,275,False,
granite_guardian_3_2_3b_a800m+minicheck_ft5+qwen30_fast,3,0,0.7273080560572385,0.007634349953426545,303.1896502861406,0.052392465137429414,0.0,,,,,,0.06116837289776432,,,,,,0.052392465137429414,0.8864391619648064,,,276,True,64.0
