system,auroc,auroc_sd,bacc,mcc,f1_unsup,rec_unsup,ece,brier,ms,p95_ms,mean_calls,macro_auroc,macro_auroc_sample_weighted,worst_corpus_auroc,n,auprc_unsup,acc,f1_macro,prec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0,aurc,auroc__cogensumm_test,auroc__cogensumm_val,auroc__frank_test,auroc__frank_valid,auroc__ragtruth_test,auroc__ragtruth_train,auroc__unisumeval_dev,auroc__unisumeval_train
fixed::factkb,0.6777428714957934,0.0003383369267353,0.6542728683271934,0.4264519614177035,0.4841330721418794,0.3274574409665019,0.0768101871074103,0.2078154978454718,44.46038095934489,150.5151769524673,1.0,0.6434748324533819,0.6415377586758498,0.4700749548701043,8512.0,0.7012465280768096,0.701421522556391,0.6370224841880754,0.9283306027458648,0.2282935897212854,23.040012500132438,385.33653363934553,22.491935031200292,0.2524671052631578,0.2642255727432935,0.2759315206445115,0.2841997063142437,0.2906800678762564,0.298578477443609,0.2131981286439292,0.7002239947552449,0.5582564575645758,0.8825356481920851,0.8702226951305339,0.5604812876855287,0.5458007249226574,0.4700749548701043,0.5602028965063244
fixed::granite_guardian_3_2_3b_a800m,0.6671286677108388,0.0001738354910175,0.6212975416851314,0.3243044481984194,0.4376583919504589,0.3027182866556837,0.0634704460250627,0.2181591881982333,243.91861031635307,465.3006297972752,1.0,0.6639561560758264,0.6547621158235394,0.5537263781728725,8512.0,0.653724590753799,0.6672579887218045,0.6006849154603853,0.7904598559102807,0.1326472759156979,199.9345930526033,785.930181649746,4.099728178604488,0.2803101503759398,0.2900528686117094,0.3001678415575696,0.3151688693098384,0.3231301396684506,0.3327420112781954,0.2617627856874115,0.7121030011655012,0.5537263781728725,0.8318785885451268,0.8069531485639599,0.5995166106215213,0.558536439489277,0.5797621850718155,0.6691728969765365
fixed::granite_guardian_3_2_8b_factuality,0.6613928139310146,0.0012922063335226,0.6569401754795468,0.4308049609513743,0.4902726530776383,0.3331411312465678,0.0979017843965892,0.2109263510179477,1011.3224318095016,1649.8309830785724,1.0,0.7098533951393238,0.688890290446931,0.5970249077490776,8512.0,0.6899907108005545,0.7036536654135338,0.6406844192647528,0.9284366437031158,0.2722038945865498,1011.5195124526508,3125.168586642248,0.9888043303961496,0.2668233082706767,0.2767378108478558,0.2811346089291708,0.2999412628487519,0.3038767784884479,0.2963463345864661,0.2284944731667326,0.7991659382284383,0.5970249077490776,0.8057649532599411,0.8145405342002079,0.725294237012987,0.6035976307832136,0.6784279098971823,0.6550110499835425
fixed::minicheck_dbta,0.6438048119870052,0.0002440457609466,0.5754367931964183,0.2176066075396346,0.3422096021894477,0.2324546952224052,0.0450817621177295,0.2296580049790461,473.3311493573707,2046.777363188448,1.0,0.6209159238305055,0.6339766724846139,0.5201190875545119,8512.0,0.6105740311881569,0.6249177631578947,0.5393891845751899,0.7037972276362552,0.3261582440062802,157.10292803123593,4200.1131693876205,2.1126858043415777,0.2964755639097745,0.3235167417270413,0.3431520644511581,0.3568135095447871,0.3674977157029109,0.3750822368421052,0.308072627897239,0.6345134032634032,0.5201190875545119,0.7015469298661858,0.663083548376286,0.6827639436456401,0.6217280163599183,0.5463189702535123,0.5972534913245873
fixed::granite_guardian_4_1_3b_factuality_lora,0.623701522393883,0.000239444758561,0.5837139430802175,0.1687133137735642,0.5160056259734619,0.5052718286655684,0.0237827942016033,0.2336933277445828,448.8089244937499,657.2126658458728,1.0,0.6464037907815168,0.6785177261849991,0.4640687544148811,8512.0,0.5564750959664811,0.595030545112782,0.5837276223527368,0.528322453116439,0.7406817553362434,409.5110759953968,1449.35944271303,2.228119686184908,0.3231203007518797,0.3422948893675347,0.3577878482712319,0.3765198237885462,0.3920767523821955,0.404969454887218,0.3309758744224961,0.5052229020979021,0.6428820026836632,0.8451419699629875,0.8156213344951239,0.5980251333487941,0.6511644534458951,0.4640687544148811,0.6491037758028871
fixed::hhem,0.6060694955160364,0.0004863143847223,0.5860372936322417,0.2685021645578509,0.3349443823081426,0.2121361889071938,0.1046627237687972,0.2331284211944489,149.64093272946866,542.7787804728721,1.0,0.5977942811870232,0.6321462922435434,0.4749823404756298,8512.0,0.6098614437504398,0.6399788533834586,0.5440444053043202,0.7998158076006738,0.3017962337052624,53.90651151537895,1676.5088523863135,6.6826635049640455,0.352890037593985,0.3341883689054239,0.3240349110439744,0.3435389133627019,0.3533481268763869,0.3600211466165413,0.3406568942023621,0.4882721445221444,0.5597911774572292,0.8141237425263359,0.7688578705720701,0.4775807339981447,0.625517528795903,0.4749823404756298,0.5732287111487281
fixed::lettuce_v2,0.6046163964335772,0.0028937973628374,0.6139031626236007,0.2901800699194782,0.4403986201609812,0.3154859967051071,0.0113814448647043,0.2246936601619369,73.67500418027853,233.08918928087215,1.0,0.5809326326901554,0.6237532246912834,0.4970079399766899,8512.0,0.544948891167806,0.6569548872180452,0.5965333775038346,0.7290609137055838,0.213393548573633,36.65406152140349,722.3587011254855,13.573124441948549,0.3383458646616541,0.3385353436459761,0.3464585431352803,0.3504992657856094,0.3459339511813079,0.3430451127819549,0.333030122497343,0.4970079399766899,0.5123560326512356,0.6348315756382272,0.6535976406716043,0.6243303571428571,0.6992783545697654,0.5014637783533475,0.5245953825175154
fixed::factcc,0.5349979167300952,0.0006309508105369,0.5211947482428929,0.0433271137646638,0.5252028514864661,0.6431081823174081,0.0093752169046909,0.2439862777305968,44.85835787706212,149.35598861775344,1.0,0.5928913388107729,0.5851822069106263,0.4794005102040817,8512.0,0.4567022746835119,0.5036066729323309,0.5015190340985498,0.4447904334702571,0.0188085812530485,22.788228961871937,374.19467036728736,22.292389809287695,0.4442904135338346,0.4676130800861561,0.4828969452836522,0.4908663729809103,0.4950137057825349,0.4963933270676691,0.4391813024156633,0.6836064976689976,0.5195963323269597,0.7550915820442251,0.700360266764972,0.4794005102040817,0.5239006268243231,0.5474943097088141,0.5336805849438097
