arm,d_auroc_ours_minus,ci95_lo,ci95_hi,significant_95,bonf_lo,bonf_hi,significant_bonferroni,n_comparisons,bonferroni_alpha
random_routing_serving,0.1497857445702487,0.13998033506130172,0.15926133902799283,True,0.13512336751968548,0.16409438614513716,True,25,0.002
random_routing_refit,0.1432488749214898,0.13336420839510896,0.152570378935489,True,0.1281586042248088,0.15700394594175784,True,25,0.002
drop_serving::granite_guardian_3_1_2b,0.10243671539093872,0.09092650713847723,0.11395905134486375,True,0.08507091480245013,0.1200753129492997,True,25,0.002
drop_retrain::granite_guardian_3_1_2b,0.09892974334340296,0.08666221570633213,0.11102104079734891,True,0.08085634420542026,0.11746710278906788,True,25,0.002
drop_serving::lettuce_v2,0.09565859801291574,0.08531205352208736,0.10697175858698373,True,0.07783335579417225,0.1140841841519978,True,25,0.002
drop_serving::factcc,0.06702958976215202,0.058077261902310405,0.07619672950727045,True,0.05370344530558738,0.08049708001681236,True,25,0.002
drop_retrain::lettuce_v2,0.05030180068942421,0.038785367683297066,0.06221762659632379,True,0.033523023820287615,0.06841575097336822,True,25,0.002
no_verifier,0.044047311369635765,0.032005479114769725,0.05645535293749655,True,0.025442934516426742,0.0648693362776263,True,25,0.002
drop_retrain::factcc,0.038427373659124006,0.02779074027549313,0.049997412325425226,True,0.02122187197497582,0.056974294915508365,True,25,0.002
no_cost,0.035882390251988236,0.024509098566879942,0.04752816420487237,True,0.018570838425733024,0.05456928870081999,True,25,0.002
no_stage1,0.032321633757204024,0.02573132882107619,0.03873846470964221,True,0.022806777807028906,0.042624807049434235,True,25,0.002
target::correctness,0.031176689478331143,0.02575236591353448,0.03666239178028683,True,0.023144718553257934,0.03991031233475451,True,25,0.002
keep_base3_only,0.028623660533565153,0.02291747574438632,0.034373327320685564,True,0.019348610267368963,0.03868218300103965,True,25,0.002
keep_compact16_3_only,0.027430781313604557,0.019305828719312683,0.0354425341377986,True,0.016359355815475554,0.04029910866298931,True,25,0.002
drop_feature::bm25_mean3,0.026158712465903698,0.018402170721383743,0.034143983284718085,True,0.015391636907563457,0.03845281356710522,True,25,0.002
target::is_best,0.015251483660285493,0.01059991206083987,0.0202665382195782,True,0.008338790092782373,0.022989407965486586,True,25,0.002
drop_feature::structured_source_line_ratio,0.013865779345915274,0.009198044462704127,0.018705632450937478,True,0.006201335735471154,0.021983011143637342,True,25,0.002
drop_feature::entity_coverage,0.00525008541688512,0.0030249631558912663,0.007565193896382609,True,0.001849445045615393,0.00889786693186117,True,25,0.002
target::brier,0.0028610117869662943,-2.400210075782223e-05,0.005704615006589594,False,-0.0017066726292226538,0.007820788923492252,False,25,0.002
no_stage2,0.002484500922953381,0.00018465544755811108,0.004732563935906222,True,-0.0011012822875653525,0.00576164053319664,False,25,0.002
drop_feature::entity_value_colocation,0.0011400898935192583,-0.0005145159902987975,0.0028024431703009664,False,-0.0016172965100786274,0.003699133427692545,False,25,0.002
target::prob_quality,0.0007796531905320703,-0.0012391102506837989,0.0029580763462021616,False,-0.0025068471043677857,0.004204497244300926,False,25,0.002
drop_feature::year_count,0.0004169922656842795,-0.0005209110827619116,0.0014440256234798713,False,-0.0012499507332438277,0.0020272590874597838,False,25,0.002
drop_feature::conflicting_value_rate,-0.000628710560233281,-0.0013903027074779705,0.00015254410629437107,False,-0.0018165363307072694,0.0006064200057552892,False,25,0.002
target::pairwise_rank,-0.001058100959939212,-0.0033456914588613483,0.0012101360745734387,False,-0.004577757181785854,0.002386707092460961,False,25,0.002
