comparison,d_auroc,ci95_lo,ci95_hi,sig95,bonf_lo,bonf_hi,sig_bonf,p_boot,family,n_draws,n_groups,n_rows
six cheap vs none (constant only),0.026721804994712738,0.010949366621504364,0.04321951061918683,True,0.007625965350784668,0.04810513816067926,True,0.001,3,2000,645,3236
six cheap vs dataset one-hot only,0.01410153076123195,0.001283284596696376,0.02745104121428097,True,-0.002960748172189168,0.030194088355715153,False,0.035,3,2000,645,3236
six cheap vs cheap + dataset,0.0013498690909619748,-0.00399670757419637,0.006456563820753153,False,-0.005296673573552685,0.007310481517810226,False,0.589,3,2000,645,3236
live vs frozen matrix,-0.0005061076213515925,-0.001474368713211523,0.0004887363986979881,False,-0.001474368713211523,0.0004887363986979881,False,0.363,1,2000,645,3236
cogensumm: full-corpus vs k=0,0.02825976107226106,0.010702659625722586,0.04476336623829186,True,0.006030198620395424,0.049939697909031314,True,0.005,4,2000,100,400
frank: full-corpus vs k=0,-0.008082234032457069,-0.02606956929268378,0.010170474836903002,False,-0.030431890423235467,0.014832481624220422,False,0.395,4,2000,350,1569
ragtruth: full-corpus vs k=0,0.0949566616419295,0.051362782031146914,0.14255962184433293,True,0.03994102412421727,0.15460927077423448,True,0.0,4,2000,150,900
unisumeval: full-corpus vs k=0,0.05536653323914921,0.012159897004791118,0.0985093872305446,True,0.001822825872045129,0.11018506566053934,True,0.01,4,2000,45,367
