corpus,n,mean_ms,share__lettuce_v2,share__factcc,share__granite_guardian_3_1_2b
ALL,3236,85.44474525397803,0.35587144622991346,0.3449938195302843,0.2991347342398022
cogensumm_test,400,43.109661039809,0.0485,0.8867500000000001,0.06475
frank_test,1569,88.79459670015774,0.04416826003824092,0.40560866794136385,0.5502230720203952
ragtruth_test,900,52.0275171435949,0.9894444444444442,0.009777777777777778,0.0007777777777777777
unisumeval_dev,367,199.21483262715645,0.4697547683923705,0.31743869209809267,0.2128065395095368
