protocol,seed,rotation,beta,val_auroc,val_ms
A,17,0,0.0,0.7641571706503614,147.66607386742425
A,17,0,0.1,0.795089533868022,76.38299512855437
A,17,0,0.2,0.7997002302866671,71.46198819346135
A,17,0,0.4,0.7118587707456523,60.865472080525876
A,17,0,0.6,0.6028497975065512,52.35239936953534
A,17,0,0.8,0.5468588700071468,44.12530305925857
A,17,0,1.2,0.5513181926467086,44.07102728571764
A,17,0,1.6,0.5530106011276106,43.64795531974049
A,17,0,2.4,0.5530106011276106,43.64795531974049
A,17,0,3.2,0.5530106011276106,43.64795531974049
A,17,1,0.0,0.7444960592932826,173.4396588202072
A,17,1,0.1,0.7890390938984289,102.86400414957117
A,17,1,0.2,0.7892243854063365,92.42445914022649
A,17,1,0.4,0.7299624197505089,82.94958670322123
A,17,1,0.6,0.582551281382118,74.60684670458394
A,17,1,0.8,0.5116603163004333,67.56816167188752
A,17,1,1.2,0.5238269220731772,66.9015483995885
A,17,1,1.6,0.5297614698053135,66.41822942179058
A,17,1,2.4,0.5315360926979488,66.3940374501517
A,17,1,3.2,0.5315360926979488,66.3940374501517
A,17,2,0.0,0.7280950445053064,164.04215049056205
A,17,2,0.1,0.7783025932899692,90.78797815006041
A,17,2,0.2,0.7692330323519342,74.92511094159823
A,17,2,0.4,0.7065270883259158,67.74427210303786
A,17,2,0.6,0.5196689917836357,55.49578722801921
A,17,2,0.8,0.46809204895583706,50.78201337272477
A,17,2,1.2,0.507967626668949,50.24158188859046
A,17,2,1.6,0.5136992896268401,49.943189341623416
A,17,2,2.4,0.5120570866141733,49.86473668307732
A,17,2,3.2,0.5120570866141733,49.86473668307732
A,17,3,0.0,0.7434791457030764,189.26999811842384
A,17,3,0.1,0.7763123678587176,115.66496238970345
A,17,3,0.2,0.7870193449184258,99.72049015183981
A,17,3,0.4,0.7478348615555079,85.73797523584373
A,17,3,0.6,0.6084576073806912,73.20560205615583
A,17,3,0.8,0.5251223896796953,64.9459372643329
A,17,3,1.2,0.5305352357909255,64.25221330442427
A,17,3,1.6,0.515175754971904,63.80176306547593
A,17,3,2.4,0.5124566124345653,63.76058902788989
A,17,3,3.2,0.5124566124345653,63.76058902788989
A,17,4,0.0,0.7660208729746871,189.04980109414905
A,17,4,0.1,0.7901199331142248,113.27849953037898
A,17,4,0.2,0.7752407311307156,95.62096051683139
A,17,4,0.4,0.7450412270080149,89.3300196153096
A,17,4,0.6,0.5865623017932307,78.62609321206347
A,17,4,0.8,0.503064637029349,71.99709660722804
A,17,4,1.2,0.5393588191201061,71.18856192194106
A,17,4,1.6,0.5367929423975091,70.70402370940151
A,17,4,2.4,0.536660324050049,70.68718197999793
A,17,4,3.2,0.536660324050049,70.68718197999793
A,17,5,0.0,0.7704898083358686,161.19606978400785
A,17,5,0.1,0.8215028901734103,80.45614671037106
A,17,5,0.2,0.8151871006997262,76.69303963082359
A,17,5,0.4,0.7328445390933983,69.32947072564896
A,17,5,0.6,0.6270185579555826,59.74731937954917
A,17,5,0.8,0.5636416184971098,52.62623090319955
A,17,5,1.2,0.5846638271980529,51.792821594432844
A,17,5,1.6,0.5803650745360511,51.348170946145444
A,17,5,2.4,0.5803316093702464,51.34413947490096
A,17,5,3.2,0.5803316093702464,51.34413947490096
A,17,6,0.0,0.7777405753968254,154.24542266207615
A,17,6,0.1,0.7997023809523809,79.42672847883503
A,17,6,0.2,0.7855282738095237,75.93665594199325
A,17,6,0.4,0.7178385416666666,68.13591008542026
A,17,6,0.6,0.6033730158730158,58.505384729031384
A,17,6,0.8,0.5463076636904762,50.11160175267744
A,17,6,1.2,0.5427052331349206,49.66949563128996
A,17,6,1.6,0.5319723462301588,49.20520085713232
A,17,6,2.4,0.5319723462301588,49.20520085713232
A,17,6,3.2,0.5319723462301588,49.20520085713232
A,17,7,0.0,0.7561146605540382,158.0111409175938
A,17,7,0.1,0.8142618513460788,86.03825846313093
A,17,7,0.2,0.8057025458447132,80.01505698627152
A,17,7,0.4,0.743470786188061,72.10245369409107
A,17,7,0.6,0.5944571790870075,62.07250132997381
A,17,7,0.8,0.5290735953960204,54.12086417108961
A,17,7,1.2,0.5358344713226688,53.88282371137273
A,17,7,1.6,0.537870659383535,53.55944996457752
A,17,7,2.4,0.537870659383535,53.55944996457752
A,17,7,3.2,0.537870659383535,53.55944996457752
A,17,8,0.0,0.8051591030296874,152.6285194316129
A,17,8,0.1,0.7958770348172791,84.2225588666636
A,17,8,0.2,0.8086605124819057,77.29239803610024
A,17,8,0.4,0.7551235492800367,68.81788495591545
A,17,8,0.6,0.6240825862813318,58.067872970734506
A,17,8,0.8,0.5544988191076008,49.12872831399416
A,17,8,1.2,0.5548734032557077,49.04282984515798
A,17,8,1.6,0.532341214414506,48.51399405547522
A,17,8,2.4,0.532341214414506,48.51399405547522
A,17,8,3.2,0.532341214414506,48.51399405547522
A,17,9,0.0,0.7575474023654647,161.3885558758285
A,17,9,0.1,0.7998661817011022,94.97925203251681
A,17,9,0.2,0.79123590757482,82.32393961649467
A,17,9,0.4,0.7233029978317411,74.57449997733892
A,17,9,0.6,0.6222626360192578,66.13306590632322
A,17,9,0.8,0.5502573235334067,58.08147566498914
A,17,9,1.2,0.5304260553283326,57.06794211627596
A,17,9,1.6,0.5255260920529036,57.0016950254176
A,17,9,2.4,0.5255260920529036,57.0016950254176
A,17,9,3.2,0.5255260920529036,57.0016950254176
A,29,0,0.0,0.7709456936608032,164.68380798602743
A,29,0,0.1,0.7945595129439098,94.53926324587451
A,29,0,0.2,0.7877012114171922,89.70140074686115
A,29,0,0.4,0.7653812645204117,80.82004813738092
A,29,0,0.6,0.5656426319283107,64.90373745362075
A,29,0,0.8,0.5289474775970794,61.383340140048865
A,29,0,1.2,0.5529943162960504,60.29169771449592
A,29,0,1.6,0.5424514603385331,59.95105240349342
A,29,0,2.4,0.5415906073680717,59.84261917948293
A,29,0,3.2,0.5415906073680717,59.84261917948293
A,29,1,0.0,0.7592873990166433,148.0933229320592
A,29,1,0.1,0.794983960338291,73.54032128141809
A,29,1,0.2,0.7671307168475285,62.264219795280006
A,29,1,0.4,0.708257228080408,55.50844415704437
A,29,1,0.6,0.5467861838907563,44.79057182862852
A,29,1,0.8,0.5040137526668815,39.50862966964107
A,29,1,1.2,0.5108082249952675,38.958688779180385
A,29,1,1.6,0.5023202509043094,38.68293540985365
A,29,1,2.4,0.5023202509043094,38.68293540985365
A,29,1,3.2,0.5023202509043094,38.68293540985365
A,29,2,0.0,0.752238379476759,177.65262830065842
A,29,2,0.1,0.7765404072474812,102.41665490058718
A,29,2,0.2,0.7786120988908645,86.63685640860842
A,29,2,0.4,0.7232452798238931,74.81478886691957
A,29,2,0.6,0.603494623655914,64.03590046450631
A,29,2,0.8,0.5547265261197188,56.793942636751304
A,29,2,1.2,0.5661724240115147,56.44716628891668
A,29,2,1.6,0.5708132249597833,55.888231770767845
A,29,2,2.4,0.5708132249597833,55.888231770767845
A,29,2,3.2,0.5708132249597833,55.888231770767845
A,29,3,0.0,0.7719744141288349,164.14772981070726
A,29,3,0.1,0.7844050718895051,95.96915595944479
A,29,3,0.2,0.7816596852711423,85.5135065073717
A,29,3,0.4,0.7255858711649495,79.41281786522029
A,29,3,0.6,0.55278218045964,67.84960130437399
A,29,3,0.8,0.46329389788293895,60.820937586601495
A,29,3,1.2,0.49650175478319936,59.78969042825316
A,29,3,1.6,0.49409034303181254,59.36278593174889
A,29,3,2.4,0.4958904109589041,59.338323136725634
A,29,3,3.2,0.4958904109589041,59.338323136725634
A,29,4,0.0,0.7600519105984138,182.39106231277609
A,29,4,0.1,0.7996510454217736,111.96466322646648
A,29,4,0.2,0.792057678442682,105.797038135608
A,29,4,0.4,0.718927180966114,96.35573458082425
A,29,4,0.6,0.6318154289834174,87.95519738861393
A,29,4,0.8,0.5570237923576064,78.24926241574715
A,29,4,1.2,0.5546157173756309,77.76051398399258
A,29,4,1.6,0.5507137707281903,77.57598963757378
A,29,4,2.4,0.5503503965392934,77.56141336853727
A,29,4,3.2,0.5503503965392934,77.56141336853727
A,29,5,0.0,0.7701792343815308,179.06808869287184
A,29,5,0.1,0.825307943844811,107.75821552729163
A,29,5,0.2,0.8207471787180685,82.57085620661908
