candidates,corpus,seeds_used,seeds_skipped,test_rows,test_groups,selected_mode,selected_mode_rate,n_distinct_selected,auroc,auroc_sd,ms
all15,cogensumm,10,0,400,100,wecheck,0.4,5,0.7758304195804195,0.011190383196040083,421.51776366028207
all15,frank,10,0,1569,350,factkb,0.4,6,0.8386274259751353,0.03425051482397169,132.5845230420843
all15,ragtruth,10,0,900,150,factcg,0.9,2,0.7818105722402596,0.006888193140977584,275.41754174590136
all15,unisumeval,10,0,367,45,wecheck,0.7,3,0.6656443764225728,0.025432864739987255,1503.7080833508442
pool3,cogensumm,10,0,400,100,granite_guardian_3_1_2b,0.9,2,0.7494773455710956,0.08184334603801235,108.85992059238197
pool3,frank,10,0,1569,350,granite_guardian_3_1_2b,1.0,1,0.8266707495017558,0.015447417537324424,145.261488478854
pool3,ragtruth,10,0,900,150,lettuce_v2,1.0,1,0.6367553484461966,0.0014912735849036576,43.85024650578594
pool3,unisumeval,10,0,367,45,granite_guardian_3_1_2b,1.0,1,0.6642080684404678,0.009148062285828885,147.6024904496757
