kind,subset,size,auroc,auroc_sd,ms,ms_det
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|year_count,5,0.793929075231133,0.001279964279186062,113.27077439955931,88.9207347046211
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|year_count|conflicting_value_rate,6,0.7933003646708998,0.0017336722302635004,112.54024165061182,88.18900778163763
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation,4,0.7929333821590909,0.0020678860894452443,112.45030895477721,88.09698104159702
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|conflicting_value_rate,5,0.7928833724052154,0.0014809042774210142,112.0685003086131,87.71869818849899
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|year_count|conflicting_value_rate,5,0.7921602747773804,0.0017024760430908918,114.63138067914242,90.28070506991773
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|year_count,4,0.7912658049427904,0.0018647126647184213,113.33723984634625,88.9890501804711
feat,structured_source_line_ratio|bm25_mean3|entity_coverage|conflicting_value_rate,4,0.7902384061378376,0.001760915192870407,114.11141444337804,89.76210398671465
feat,structured_source_line_ratio|bm25_mean3|entity_coverage,3,0.7895049767316511,0.0019254637160084308,112.03306067446302,87.68446286797514
feat,structured_source_line_ratio|bm25_mean3|entity_value_colocation|year_count,4,0.7880975545399498,0.0018224646799039756,109.24097445222235,84.8941006733424
feat,structured_source_line_ratio|bm25_mean3|entity_value_colocation|year_count|conflicting_value_rate,5,0.7880502792540145,0.002756749081071782,110.43360122731664,86.08335378590417
feat,structured_source_line_ratio|bm25_mean3|entity_value_colocation,3,0.7880249727398917,0.0025852326108428006,110.0958979068771,85.74555103485838
feat,structured_source_line_ratio|bm25_mean3|entity_value_colocation|conflicting_value_rate,4,0.7877196989942796,0.0030836905884544285,109.96114704585416,85.60859198596141
feat,structured_source_line_ratio|bm25_mean3|conflicting_value_rate,3,0.7845445673169625,0.0017356060334511635,106.99048569899787,82.64208333816246
feat,structured_source_line_ratio|bm25_mean3|year_count|conflicting_value_rate,4,0.7838659062026753,0.0017895143912826047,107.77859059253917,83.42943141398989
feat,structured_source_line_ratio|bm25_mean3|year_count,3,0.7837887913877227,0.0016283993516905172,107.04928170788973,82.69597325408259
feat,structured_source_line_ratio|bm25_mean3,2,0.7831292997394079,0.0017347207883324218,106.95210391059467,82.59662952075752
feat,bm25_mean3|entity_coverage|entity_value_colocation|year_count|conflicting_value_rate,5,0.7794345853249844,0.0030768491701311552,120.01054163785508,95.66138766041847
feat,bm25_mean3|entity_coverage|entity_value_colocation|conflicting_value_rate,4,0.7787372170671394,0.002479984574581563,120.22478545182801,95.87346799930138
feat,bm25_mean3|entity_coverage|entity_value_colocation|year_count,4,0.778232800760464,0.0019737244115985175,121.50774205990778,97.15364598403751
feat,bm25_mean3|entity_coverage|entity_value_colocation,3,0.777996790805873,0.002229930255393216,119.67268611483719,95.32359900228646
