arm,auroc,auroc_sd,d_auroc_vs_reference,ece,brier,aurc,bacc,mcc,ms,p95_ms,n,auprc_unsup,acc,f1_macro,f1_unsup,prec_unsup,rec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0
reference,0.8225560999095635,0.004736921283365409,0.0,0.03882592944797744,0.16854769793906116,0.13652297119208628,0.7415322461817081,0.5061348781191277,106.14479151460242,225.15946617275512,3236.0,0.8352164160298908,0.7364647713226204,0.7314646522040189,0.7088808804139185,0.8463158394195794,0.6260509177027828,0.45964126660712923,69.25364312699568,757.628978103806,9.422910935259308,0.14245982694684795,0.1486096807415036,0.1695364238410596,0.20336037079953648,0.23585164835164835,0.26353522867737944
featureset::legacy_A9,0.8105263611114619,0.005329822517523143,-0.012029738798101541,0.045649238905742816,0.17362884913223592,0.14754886609755136,0.7359042291598974,0.4971032460279437,105.23358001008246,215.96351283568123,3236.0,0.825508157148499,0.7292027194066749,0.723706102547794,0.6898426047380836,0.8597353195043669,0.5831853167554766,0.46699252974803845,72.01073435770282,704.3778272958518,9.6874840821807,0.16032138442521635,0.1627188465499485,0.18172185430463578,0.21066048667439166,0.24299450549450546,0.2707972805933251
featureset::legacy_B5,0.8139566333433222,0.008897933846763805,-0.00859946656624122,0.04437767926611384,0.17150757555422574,0.1417163749158049,0.7406675117102449,0.5068116712918489,113.21193156351546,221.29654506041962,3236.0,0.8305671559422034,0.7338998763906056,0.7287092509712056,0.6953161678708344,0.866836552189293,0.5864416814683244,0.4147305720097997,82.92598943970634,674.0055377366922,9.07522562338357,0.1572311495673671,0.15957775489186407,0.1747019867549669,0.20235612205484746,0.237396978021978,0.26610012360939433
control::matched_random,0.6607383683081103,0.009885738246973393,-0.16181773160145319,0.12139725543735688,0.24555771761618317,0.3135780415828582,0.6124845620718571,0.24990318201913175,102.85408911486668,232.13776046244107,3236.0,0.6835339786219865,0.6051297898640297,0.5894933299538393,0.5295316031152658,0.7142966294973261,0.44487862640615744,0.43092699737831647,62.642088854348685,828.0909035915962,9.725973004066521,0.34474660074165636,0.33146240988671477,0.3513465783664459,0.3658941676322905,0.38125,0.39487021013597035
control::oracle_heads,0.9913539565300091,0.0018302321082275471,0.16879785662044566,0.02029258555659298,0.026440610661435666,0.004047834451586108,0.9697622128507094,0.9421701262142607,117.54380520124656,237.87163460217093,3236.0,0.9886312237920183,0.9707045735475897,0.9705879267453007,0.9724089349833733,0.9544436075892019,0.9912374185908821,0.6237892912936072,97.50888350678981,789.4524887086045,8.521709826599047,0.0022867737948084055,0.0023171987641606552,0.0019867549668874163,0.0017767477790652797,0.008653846153846123,0.02929542645241038
control::oracle_heads_beta0,0.9942105138270637,0.0009411749973025957,0.17165441391750025,0.018894432665116544,0.021107567062385497,0.0033956380030243,0.97781318566503,0.9578197898441138,127.78097394859648,241.9406648193097,3236.0,0.9923186631416396,0.978646477132262,0.9785659949903623,0.9798734582921442,0.9635481011392933,0.9968028419182948,0.5558562494082148,112.7664956990764,761.1814483498592,7.8269887291926015,0.001977750309023507,0.0019052523171987578,0.0016335540838852026,0.0014291232135960064,0.0041552197802197655,0.02135352286773794
