n_trees,val_head_loss,eval_auroc,auroc_sd,n_fits
1,0.015378469967344901,0.7671553806950067,0.02350203574598386,10
2,0.01488485478585572,0.7731194479682928,0.020551371919283697,10
5,0.014677121108627223,0.7756984517461973,0.01802451896764667,10
10,0.014583088679634773,0.7753173979716818,0.018942121182474906,10
25,0.01450771010387233,0.7780584117897703,0.016676221587713532,10
50,0.014487118241718597,0.7734680341735158,0.014156869183825901,10
100,0.014478316804864774,0.7757657331078335,0.013892173160244612,10
200,0.014480592890863448,0.7758793393978324,0.014865345941326784,10
400,0.014482736721952846,0.7751755938966086,0.01418073203058709,10
800,0.014477912173098198,0.775253014945445,0.014204690808948562,10
